Feature,Importance
NAME_TYPE_SUITE_Unaccompanied,0.0037805152
AMT_INCOME_TOTAL,0.0037457477
YEARS_BEGINEXPLUATATION_AVG,0.003680302
OCCUPATION_TYPE_Secretaries,0.0036636628
NAME_HOUSING_TYPE_Office apartment,0.0036266856
NAME_HOUSING_TYPE_Municipal apartment,0.0036113982
CNT_CHILDREN,0.0036053075
ORGANIZATION_TYPE_Hotel,0.0035971922
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0035357103
BASEMENTAREA_AVG,0.0035292627
OCCUPATION_TYPE_Unknown,0.003521582
OCCUPATION_TYPE_High skill tech staff,0.0035183544
ORGANIZATION_TYPE_Business Entity Type 2,0.003516766
WALLSMATERIAL_MODE_Wooden,0.0035126295
ORGANIZATION_TYPE_Police,0.0035041287
NAME_HOUSING_TYPE_Rented apartment,0.0034737044
HOUR_APPR_PROCESS_START,0.003465049
REG_REGION_NOT_WORK_REGION,0.0034356103
FLAG_DOCUMENT_5,0.0034211257
ELEVATORS_MODE,0.003409144
OCCUPATION_TYPE_Cooking staff,0.0034080138
EMERGENCYSTATE_MODE_Yes,0.0034032275
WALLSMATERIAL_MODE_Others,0.0034018324
WALLSMATERIAL_MODE_Unknown,0.0033804069
ORGANIZATION_TYPE_Industry: type 10,0.0033768292
FLAG_DOCUMENT_8,0.003351404
HOUSETYPE_MODE_block of flats,0.003339514
FLAG_DOCUMENT_6,0.003326926
ORGANIZATION_TYPE_Industry: type 11,0.0033037704
OCCUPATION_TYPE_Sales staff,0.0032743153
NAME_EDUCATION_TYPE_Incomplete higher,0.0032714864
OCCUPATION_TYPE_HR staff,0.003217797
OCCUPATION_TYPE_Cleaning staff,0.0031680327
FLAG_DOCUMENT_2,0.0031670278
ORGANIZATION_TYPE_Emergency,0.0030890591
OCCUPATION_TYPE_IT staff,0.0030311188
HOUSETYPE_MODE_specific housing,0.0029942668
NAME_TYPE_SUITE_Other_B,0.00292784
HAS_REALTY,0.0028900476
ORGANIZATION_TYPE_Industry: type 1,0.0028080721
NAME_TYPE_SUITE_Family,0.0027684248
"WALLSMATERIAL_MODE_Stone, brick",0.002743503
ORGANIZATION_TYPE_Trade: type 7,0.002581164
ORGANIZATION_TYPE_Postal,0.0025470492
NAME_HOUSING_TYPE_With parents,0.0025328423
FLAG_DOCUMENT_9,0.00242533
ORGANIZATION_TYPE_Transport: type 4,0.0023499255
ORGANIZATION_TYPE_Industry: type 2,0.0022757393
ORGANIZATION_TYPE_Agriculture,0.0020755364
ORGANIZATION_TYPE_Industry: type 3,0.0017673301
ORGANIZATION_TYPE_Industry: type 4,0.0015698798
ORGANIZATION_TYPE_Electricity,0.0011761347
ORGANIZATION_TYPE_Trade: type 6,0.0
ORGANIZATION_TYPE_Cleaning,0.0
NAME_INCOME_TYPE_Maternity leave,0.0
ORGANIZATION_TYPE_Transport: type 1,0.0
ORGANIZATION_TYPE_Industry: type 12,0.0
ORGANIZATION_TYPE_XNA,0.0
NAME_INCOME_TYPE_Student,0.0
ORGANIZATION_TYPE_Trade: type 4,0.0
NAME_INCOME_TYPE_Unemployed,0.0
WALLSMATERIAL_MODE_Mixed,0.0
WALLSMATERIAL_MODE_Monolithic,0.0
FLAG_CONT_MOBILE,0.0
NAME_FAMILY_STATUS_Unknown,0.0
FLAG_MOBIL,0.0
ORGANIZATION_TYPE_Trade: type 5,0.0
ORGANIZATION_TYPE_Services,0.0
ORGANIZATION_TYPE_Culture,0.0
FLAG_DOCUMENT_12,0.0
FLAG_OWN_REALTY_Y,0.0
ORGANIZATION_TYPE_Industry: type 6,0.0
CODE_GENDER_XNA,0.0
ORGANIZATION_TYPE_Industry: type 8,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
FLAG_DOCUMENT_21,0.0
OCCUPATION_TYPE_Realty agents,0.0
FLAG_DOCUMENT_17,0.0
ORGANIZATION_TYPE_Mobile,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_10,0.0
ORGANIZATION_TYPE_Religion,0.0
FLAG_DOCUMENT_7,0.0
ORGANIZATION_TYPE_Security,0.0
NAME_TYPE_SUITE_Group of people,0.0
ORGANIZATION_TYPE_Industry: type 13,0.0
ORGANIZATION_TYPE_Telecom,0.0
ORGANIZATION_TYPE_Trade: type 1,0.0
FLAG_DOCUMENT_19,0.0
